,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice
0,True,full_screen,d05232022hr1453,fullscreen,0,1839,0.0-0.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,category_learning_instructions,,instructions,1,12401,0.0-1.0-0.0-0.0,0,0,3,"[{""page_index"":0,""viewing_time"":992},{""page_index"":1,""viewing_time"":179},{""page_index"":2,""viewing_time"":161},{""page_index"":3,""viewing_time"":180},{""page_index"":4,""viewing_time"":460},{""page_index"":5,""viewing_time"":1042},{""page_index"":4,""viewing_time"":5412},{""page_index"":5,""viewing_time"":1213},{""page_index"":6,""viewing_time"":920}]",10560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,category_learning_comprehension_check,,survey-multi-choice,2,17025,0.0-1.0-0.0-1.0,0,0,3,,4618.0,"{""Q0"":""True"",""Q1"":""True"",""Q2"":""Stay the same"",""Q3"":""pointer finger for left and middle finger for right""}",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,html-keyboard-response,3,19029,0.0-1.0-1.0,0,0,3,,1999.0,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,choice,,html-keyboard-response,4,19553,0.0-1.0-2.0-0.0-0.0,0,0,3,,520.0,,,50.0,0.0,0.0,1500.0,1000.0,1.0,0.0,0.0,20-80,,0.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,bagels_pumpernickel_large.jpg,31B64EN68AL._AA280_.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_pumpernickel_large.jpg,/static/Category_learning/Stimuli/Practice_stims/dumbbell/31B64EN68AL._AA280_.jpg,1.0,bagel,dumbbell,20.0,80.0,bagel1,dumbbell1,0.0,80.0,0.0,0.52,0.52,
5,,confirmation,,html-keyboard-response,5,20548,0.0-1.0-2.0-0.0-1.0-0.0,0,0,3,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.98,
6,,isi,,html-keyboard-response,6,20655,0.0-1.0-2.0-0.0-2.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.5,
7,,feedback,,html-keyboard-response,7,21664,0.0-1.0-2.0-0.0-3.0-0.0,0,0,3,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,
8,,iti,,html-keyboard-response,8,21770,0.0-1.0-2.0-0.0-5.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,
9,,choice,,html-keyboard-response,9,21937,0.0-1.0-3.0-0.0-0.0,0,0,3,,162.0,,,50.0,1.0,1.0,3000.0,1500.0,1.0,0.0,0.0,20-40,,1.0,calculator,bagel,40.0,20.0,calculator2,bagel2,20.0,20.0,22829064.thl.jpg,bagels_cinnraisin_large.jpg,/static/Category_learning/Stimuli/Practice_stims/calculator/22829064.thl.jpg,/static/Category_learning/Stimuli/Practice_stims/bagel/bagels_cinnraisin_large.jpg,1.0,calculator,bagel,40.0,20.0,calculator2,bagel2,20.0,20.0,0.0,5.162,0.162,
